title;attachment;description;attachment_type
Materi Budidaya Ikan Lele sistem Bioflok;uploads/materi/2024/12/1733803830_504ef2e1620f804a888a.jpg;<p>Lele sistem bioflok merupakan sistem budidaya ikan dengan penggunaan probiotik pembentuk flok sebagai pakan tambahan ikan</p>;
Teknis Budidaya Ikan Lele;uploads/materi/2024/12/1733803857_33546f17b5902336ed3a.jpeg;<p>Teknis Budidaya lele Terdiri dari beberapa tahapan,,</p><ol><li>Tahap Persiapan Kolam</li><li>Tahap Penebaran Benih</li><li>Tahap Pemeliharaan</li><li>Tahap Penanganan Penyakit</li><li>Tahap Panen</li></ol>;
Sosialisasi  Permen KP Nomor 28 tahun 2024;uploads/materi/2024/12/1733803876_ce108a58b55ab10bc371.pdf;<p>Perubahan Kepmen KP Nomor 14 Tahun 2012 ke Permen KP Nomor 28 Tahun 2024 Tentang Kelembagaan Kelompok</p>;
Sosialisasi Permen KP No.7 Tahun 2024;uploads/materi/2024/12/1733803987_2bd3371711bfb2e79f33.pdf;"<div class=""WaaZC""><div class=""RJPOee EIJn2""><div class=""rPeykc"" data-hveid=""CAkQAQ"" data-ved=""2ahUKEwjm0tvWqpyKAxX47zgGHW0XMH0Qo_EKegQICRAB"">Peraturan Menteri Kelautan dan Perikanan (Permen KP) Nomor 7 Tahun 2024 berisi tentang pengelolaan lobster, kepiting, dan rajungan:&nbsp;Lobster (Panulirus spp.), Kepiting (Scylla spp.), Rajungan (Portunus spp.).<span class=""UV3uM"">&nbsp;</span><div class=""NPrrbc"" data-cid=""53885537-a247-49a8-b5d7-4230aa5d3cb0""><div class=""BMebGe btku5b fCrZyc LwdV0e FR7ZSc OJeuxf"" tabindex=""0"" role=""button"" aria-label=""Lihat link terkait"" data-hveid=""CAgQAQ"" data-ved=""2ahUKEwjm0tvWqpyKAxX47zgGHW0XMH0Q3fYKegQICBAB""><div class=""niO4u""><div class=""kHtcsd"">&nbsp;</div></div></div></div></div></div></div><div class=""WaaZC""><div class=""RJPOee EIJn2""><div class=""rPeykc"" data-hveid=""CAIQAQ"" data-ved=""2ahUKEwjm0tvWqpyKAxX47zgGHW0XMH0Qo_EKegQIAhAB"">Permen KP ini juga mencabut Permen KP Nomor 17 Tahun 2021 dan Permen KP Nomor 16 Tahun 2022 yang mengatur hal yang sama</div></div></div>";
