name;kalurahan_id;dusun;address;latitude;longitude;type;status
BBI Barongan;117;Ngentak;Ngentak, Sumberagung, Jetis, Bantul;-7.865649;110.336839;2;1
BBI Gesikan;109;Gesikan III;Jalan Sedayu - Pajangan;-7.840935;110.361786;2;1
BBI Sanden;109;Ngentak;Jalan Raya Sanden Sorobayan ;-7.959975;110.267158;2;1
BBI Krapyak;109;Glugo;Glugo Panggungharjo Sewon;-7.830051;110.356521;2;1
BBI Testing;148;Testing dusun;Testing alamat;-7.902831;110.378265;2;1
nama Test;147;dusun te;alamat eess;-7.80046;109.998207;1;1
DEPOK;96;depok;depok;-7.988178;110.318527;1;1
