id;kabupaten_id;kode_bps;kode_kemendagri;name;created_at;updated_at
68;5;3471040;34.71.13;UMBULHARJO;2025-08-18 05:45:26;2025-08-18 05:45:26
69;5;3471050;34.71.14;KOTAGEDE;2025-08-18 05:45:26;2025-08-18 05:45:26
70;5;3471060;34.71.03;GONDOKUSUMAN;2025-08-18 05:45:26;2025-08-18 05:45:26
71;5;3471070;34.71.04;DANUREJAN;2025-08-18 05:45:26;2025-08-18 05:45:26
72;5;3471080;34.71.11;PAKUALAMAN;2025-08-18 05:45:26;2025-08-18 05:45:26
73;5;3471090;"34.71.10";GONDOMANAN;2025-08-18 05:45:26;2025-08-18 05:45:26
74;5;3471100;34.71.06;NGAMPILAN;2025-08-18 05:45:26;2025-08-18 05:45:26
75;5;3471110;34.71.07;WIROBRAJAN;2025-08-18 05:45:26;2025-08-18 05:45:26
76;5;3471120;34.71.05;GEDONGTENGEN;2025-08-18 05:45:26;2025-08-18 05:45:26
77;5;3471130;34.71.02;JETIS;2025-08-18 05:45:26;2025-08-18 05:45:26
78;5;3471140;34.71.01;TEGALREJO;2025-08-18 05:45:26;2025-08-18 05:45:26
